:bowtie:
😄	Ronreír	:smile:
😆	Riendo	:laughing:
😊	Coloretes	:blush:
😃	Smiley	:smiley:
☺️	Relajado	:relaxed:
😏	Sonrisa pícara	:smirk:
😍	Ojos de enamorado	:heart_eyes:
😘	Beso con corazón	:kissing_heart:
😚	Beso con los ojos cerrados	:kissing_closed_eyes:
😳	Colorado	:flushed:
😌	Aliviado	:relieved:
😆	Satisfecho	:satisfied:
😁	Mueca	:grin:
😉	Guiño	:wink:
😜	Guiño echando la lengua	:stuck_out_tongue_winking_eye:
😝	Risa con guiño echando la lengua	:stuck_out_tongue_closed_eyes:
😀	Sonriendo	:grinning:
😗	Besando	:kissing:
😙	Besando con ojos felices	:kissing_smiling_eyes:
😛	Echando la lengua	:stuck_out_tongue:
😴	Duermiendo	:sleeping:
😟	Preocupado	:worried:
😦	Frunciendo el ceño	:frowning:
😧	Angustiado	:anguished:
😮	Boca abierta	:open_mouth:
😬	Enseñando los dientes	:grimacing:
😕	Confuso	:confused:
😯	Callado	:hushed:
😑	Sin expresión	:expressionless:
😒	Aburrido	:unamused:
😅	Risa con sudor	:sweat_smile:
😓	Sudor	:sweat:
😥	Decepción aliviada	:disappointed_relieved:
😩	Cansado	:weary:
😔	Pensativo	:pensive:
😞	Decepcionado	:disappointed:
😖	Aturdido	:confounded:
😨	Temeroso	:fearful:
😰	Sudor frío	:cold_sweat:
😣	Perseverar	:persevere:
😢	Llorar	:cry:
😭	Sollozo	:sob:
😂	Alegría	:joy:
😲	Asombrado	:astonished:
😱	Grito	:scream:
:neckbeard:	Barba	:neckbeard:
😫	Cara cansada	:tired_face:
😠	Enfadado	:angry:
😡	Rabia	:rage:
😤	Triunfo	:triumph:
😪	Somnoliento	:sleepy:
😋	Mmm	:yum:
😷	Máscara	:mask:
😎	Gafas de sol	:sunglasses:
😵	Cara de mareado	:dizzy_face:
👿	Demonio	:imp:
😈	Demonio riendo	:smiling_imp:
😐	Cara neutral	:neutral_face:
😶	Mudo	:no_mouth:
😇	Inocente	:innocent:
👽	Alien	:alien:
💛	Corazón amarillo	:yellow_heart:
💙	Corazón azul	:blue_heart:
💜	Corazón violeta	:purple_heart:
❤️	Corazón	:heart:
💚	Corazón verde	:green_heart:
💔	Corazón roto	:broken_heart:
💓	Latido de corazón	:heartbeat:
💗	Pulso de corazón	:heartpulse:
💕	Dos corazones	:two_hearts:
💞	Corzones girando	:revolving_hearts:
💘	Cupido	:cupid:
💖	Corazón brillante	:sparkling_heart:
✨	Brillante	:sparkles:
⭐	Estrella	:star:
🌟	Estrella 2	:star2:
💫	Mareo	:dizzy:
💥	Boom	:boom:
💥	Colisión	:collision:
💢	Ira	:anger:
❗	Exclamación	:exclamation:
❓	Interrogación	:question:
❕	Exclamación gris	:grey_exclamation:
❔	Interrogación gris	:grey_question:
💤	zzz	:zzz:
💨	Veloz	:dash:
💦	Gotas de sudor	:sweat_drops:
🎶	Notas musicales	:notes:
🎵	Nota musical	:musical_note:
🔥	Fuego	:fire:
💩	Hankey	:hankey:
💩	Poop	:poop:
💩	Mierda	:shit:
👍	+1	:+1:
👍	Pulgar arriba	:thumbsup:
👎	-1	:-1:
👎	Pulgar Abajo	:thumbsdown:
👌	OK con la mano	:ok_hand:
👊	Puñetazo	:punch:
👊	Puñetazo en la cara	:facepunch:
✊	Puño	:fist:
✌️	Todo correcto	:v:
👋	Saludo ondulado	:wave:
✋	Palma de la mano	:hand:
✋	Mano alzada	:raised_hand:
👐	Manos abiertas	:open_hands:
☝️	Dedo apuntando hacia arriba	:point_up:
👇	Dedo apuntando hacia abajo	:point_down:
👈	Dedo apuntando hacia la izquierda	:point_left:
👉	Dedo apuntando hacia la derecha	:point_right:
🙌	Manos alzadas	:raised_hands:
🙏	Orando	:pray:
👆	Señalando	:point_up_2:
👏	Palmada	:clap:
💪	Músculo	:muscle:
🤘	Metal	:metal:
🖕	Puñeta	:fu:
🚶	Caminando	:walking:
🏃	Runner	:runner:
🏃	Corriendo	:running:
👫	Pareja	:couple:
👪	Familia	:family:
👬	Dos hombres dándose la mano	:two_men_holding_hands:
👭	Dos mujeres dándose la mano	:two_women_holding_hands:
💃	Bailarina	:dancer:
👯	Bailadores	:dancers:
🙆‍♀️	Mujer OK	:ok_woman:
🙅	Mujer que no está bien	:no_good:
💁	Persona de atención al cliente	:information_desk_person:
🙋	Mujer con mano levantada	:raising_hand:
👰	Novia con velo	:bride_with_veil:
🙎	Persona haciendo pucheros	:person_with_pouting_face:
🙍	Persona frunciendo el ceño	:person_frowning:
🙇	Inclinado	:bow:
💏	Beso de pareja	:couplekiss:
💑	Pareja con corazón	:couple_with_heart:
💆	Mensaje	:massage:
💇	Corte de pelo	:haircut:
💅	Pintado de uñas	:nail_care:
👦	Chico	:boy:
👧	Chica	:girl:
👩	Mujer	:woman:
👨	Hombre	:man:
👶	Bebé	:baby:
👵	Señora vieja	:older_woman:
👴	Señor viejo	:older_man:
👱	Hombre con el pelo rubio	:person_with_blond_hair:
👲	Hombre con Gua pi mao	:man_with_gua_pi_mao:
👳‍♂️	Hombre con turbante	:man_with_turban:
👷	Obrero de la construcción	:construction_worker:
👮	Policía	:cop:
👼	Ángel	:angel:
👸	Princesa	:princess:
😺	Gato sonriendo	:smiley_cat:
😸	Gato riendo	:smile_cat:
😻	Gato enamorado	:heart_eyes_cat:
😽	Gato besando	:kissing_cat:
😼	Gato sonriente	:smirk_cat:
🙀	Gato gritando	:scream_cat:
😿	Gato llorando	:crying_cat_face:
😹	Gato diviertiéndose	:joy_cat:
😾	Gato haciendo pucheros	:pouting_cat:
👹	Ogro japonés	:japanese_ogre:
👺	Goblin japonés	:japanese_goblin:
🙈	Mono con los ojos cerrados	:see_no_evil:
🙉	Mono con los oídos tapados	:hear_no_evil:
🙊	Mono con la boca cerrada	:speak_no_evil:
💂‍♂️	Guardia	:guardsman:
💀	Calavera	:skull:
🐾	Piés	:feet:
👄	Labios	:lips:
💋	Beso	:kiss:
💧	Gota	:droplet:
👂	Oreja	:ear:
👀	Ojos	:eyes:
👃	Nariz	:nose:
👅	Lengua	:tongue:
💌	Carta de amor	:love_letter:
👤	Busto	:bust_in_silhouette:
👥	Bustos	:busts_in_silhouette:
💬	Globo de texto	:speech_balloon:
💭	Globo de pensamiento	:thought_balloon:
:feelsgood:	Me siento bien	:feelsgood:
:finnadie:	Herido	:finnadie:
